fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.5;0.6;0.35;2.3;0.173;7.9;35.9;0.99;3.24;0.76;10.1;5
5.7;0.46;0.28;1.5;0.068;7.3;25.6;0.99;3.23;0.58;11.2;7
9.4;0.38;0.49;4.4;0.094;25.8;75.0;0.99;3.33;0.77;10.9;6
8.5;0.41;0.24;1.3;0.012;15.0;64.6;0.99;3.23;0.84;11.2;6
9.2;0.48;0.26;1.3;0.084;18.9;59.5;0.99;3.36;0.81;10.4;5
6.4;0.51;0.38;4.1;0.098;12.7;39.9;0.99;3.48;0.7;11.0;5
8.7;0.6;0.31;1.6;0.083;25.3;111.7;0.9918;3.41;0.54;10.5;5
10.5;0.44;0.09;1.9;0.061;9.5;26.2;0.99;3.44;0.81;12.4;7
6.8;0.52;0.28;2.6;0.043;14.5;58.2;0.99;3.47;0.61;12.2;6
6.8;0.62;0.37;2.5;0.14;24.1;90.0;0.99;3.35;0.67;11.5;6
9.5;0.69;0.09;4.1;0.088;28.1;102.3;0.99;3.29;0.64;11.0;4
6.7;0.4;0.39;3.4;0.159;10.4;39.2;0.99;3.19;0.67;13.5;7
7.9;0.36;0.32;3.6;0.062;36.4;131.2;0.99;3.25;0.59;10.5;6
10.8;0.48;0.37;4.1;0.067;19.1;69.6;0.99;3.23;0.7;10.0;5
6.8;0.52;0.18;1.9;0.125;5.0;17.0;0.99;3.42;0.84;11.6;5
10.9;0.63;0.35;2.0;0.012;19.7;84.1;0.99;3.36;0.77;12.6;5
7.7;0.55;0.27;2.4;0.03;11.9;28.5;0.99;3.41;0.72;10.8;5
6.4;0.41;0.46;1.9;0.139;20.4;81.6;0.99;3.14;0.8;12.8;6
9.3;0.48;0.53;11.5;0.032;15.4;62.1;0.99;3.52;0.71;11.1;5
8.5;0.54;0.4;5.2;0.012;16.6;65.1;0.99;3.25;0.69;10.5;5
8.3;0.57;0.33;1.4;0.175;6.3;33.2;0.99;3.14;0.79;10.6;6
7.0;0.71;0.48;1.0;0.021;26.2;90.8;0.99;3.24;0.51;11.5;5
8.5;0.53;0.31;1.1;0.096;3.8;6.0;0.99;3.68;0.67;10.3;5
4.8;0.55;0.16;1.7;0.09;4.3;14.3;0.99;3.25;0.64;11.1;5
8.7;0.43;0.25;1.3;0.012;19.7;59.0;0.99;3.26;0.66;12.3;5
10.5;0.67;0.36;2.9;0.074;32.6;106.8;0.99;3.28;0.65;11.2;6
5.3;0.41;0.33;5.9;0.108;12.2;30.3;0.99;3.29;0.7;12.1;5
7.6;0.6;0.17;4.3;0.104;23.2;76.4;0.99;3.19;0.62;10.4;6
6.8;0.44;0.17;1.6;0.129;27.1;88.9;0.99;3.33;0.65;11.0;6
5.7;0.49;0.22;2.3;0.069;24.4;61.6;0.99;3.47;0.58;9.9;5
4.8;0.37;0.33;2.8;0.12;12.6;51.1;0.99;3.36;0.79;11.5;6
6.3;0.79;0.32;5.2;0.055;4.5;38.0;0.99;3.14;0.65;11.6;5
7.9;0.57;0.26;5.6;0.021;1.0;9.6;0.99;3.26;0.6;11.1;5
10.3;0.41;0.23;7.0;0.026;13.1;43.8;0.99;3.23;0.71;12.8;7
5.7;0.5;0.48;2.8;0.018;28.2;98.2;0.99;3.32;0.75;11.2;7
8.8;0.41;0.17;4.0;0.134;4.1;10.1;0.99;3.51;0.86;11.6;6
8.7;0.55;0.38;1.3;0.016;23.2;82.1;0.99;3.29;0.53;10.6;5
11.1;0.56;0.32;3.1;0.1;5.9;20.3;0.99;3.3;0.72;11.3;5
9.3;0.43;0.41;1.7;0.075;17.0;51.1;0.99;3.58;0.75;11.8;6
9.4;0.67;0.21;2.4;0.082;23.3;98.4;0.99;3.44;0.56;11.5;5
9.5;0.53;0.24;3.5;0.151;9.0;16.6;0.99;3.4;0.8;10.1;5
6.7;0.32;0.29;1.7;0.066;17.7;69.1;0.99;3.6;0.75;10.7;6
7.3;0.59;0.17;1.1;0.116;11.5;39.2;0.99;3.38;0.55;10.0;4
10.2;0.43;0.33;1.0;0.089;23.2;100.2;0.99;3.01;0.56;11.6;7
4.8;0.46;0.41;1.1;0.08;18.3;67.5;0.99;3.43;0.67;11.1;5
7.1;0.4;0.15;1.0;0.195;16.5;54.2;0.99;3.07;0.7;12.0;6
6.0;0.5;0.18;1.3;0.019;32.2;110.2;0.99;3.38;0.55;10.3;5
8.7;0.6;0.2;1.7;0.148;22.8;80.2;0.99;3.05;0.6;10.1;6
7.6;0.43;0.27;1.6;0.118;8.6;18.7;0.99;3.24;0.79;13.1;6
9.4;0.69;0.24;11.8;0.064;15.0;44.8;0.99;3.26;0.45;10.1;5
8.1;0.35;0.39;1.9;0.164;15.1;35.0;0.99;3.19;0.78;12.5;7
5.7;0.51;0.28;1.3;0.012;16.7;49.2;0.99;3.26;0.68;11.4;6
5.8;0.37;0.34;3.0;0.062;42.3;149.0;0.99;3.46;0.8;12.0;7
8.3;0.49;0.35;5.9;0.03;19.7;72.0;0.99;3.2;0.72;11.8;7
7.0;0.37;0.3;3.8;0.106;1.0;6.0;0.99;3.39;0.73;11.1;6
7.4;0.48;0.38;1.9;0.035;10.2;34.3;0.99;3.17;0.68;12.2;7
9.9;0.56;0.24;3.1;0.107;1.0;9.1;0.99;3.28;0.65;10.6;5
9.6;0.49;0.41;4.1;0.078;12.4;41.8;0.99;3.36;0.7;11.9;5
11.4;0.53;0.5;4.3;0.064;1.0;6.0;0.99;3.16;0.67;11.5;5
7.8;0.7;0.32;3.7;0.105;6.8;19.7;0.99;3.11;0.69;11.5;5
7.2;0.56;0.27;6.1;0.074;1.0;6.0;0.99;3.38;0.56;10.6;5
9.0;0.48;0.31;6.1;0.036;19.9;63.3;0.99;3.48;0.59;10.8;5
7.3;0.36;0.17;3.2;0.219;15.9;57.4;0.99;3.3;0.64;10.4;6
7.4;0.6;0.27;2.4;0.064;19.0;89.6;0.99;3.24;0.62;10.7;5
8.0;0.57;0.18;3.6;0.012;14.8;44.4;0.99;3.33;0.79;10.2;5
11.1;0.55;0.33;5.3;0.047;1.3;6.0;0.99;3.32;0.66;12.5;6
9.5;0.4;0.18;1.0;0.027;21.2;73.7;0.99;3.35;0.54;11.0;5
9.7;0.36;0.25;13.1;0.126;36.0;119.1;0.99;2.93;0.75;11.5;6
11.0;0.66;0.06;1.5;0.102;20.2;81.7;0.99;3.15;0.78;10.8;5
9.8;0.44;0.19;2.6;0.106;11.4;16.2;0.99;3.18;0.62;12.0;7
6.4;0.53;0.32;6.1;0.07;1.0;6.0;0.99;3.33;0.9;13.4;6
9.8;0.45;0.16;1.6;0.074;6.4;30.6;0.99;3.34;0.69;10.8;5
10.0;0.59;0.3;2.6;0.07;20.6;69.2;0.99;3.41;0.65;9.7;3
9.4;0.58;0.18;1.4;0.083;27.1;86.6;0.99;3.35;0.85;11.8;6
8.0;0.58;0.33;2.3;0.126;18.6;69.5;0.99;3.11;0.8;9.4;6
9.2;0.37;0.2;1.5;0.103;24.2;93.8;0.99;3.53;0.69;11.5;6
8.3;0.35;0.32;2.1;0.111;23.3;83.7;0.99;3.5;0.82;11.1;6
6.6;0.54;0.1;2.2;0.11;21.2;66.2;0.99;3.12;0.68;10.2;5
7.1;0.47;0.2;13.5;0.129;9.0;36.1;0.99;3.36;0.76;11.4;5
9.5;0.47;0.17;14.2;0.101;17.7;57.9;0.99;3.22;0.77;11.0;5
6.8;0.35;0.37;1.3;0.104;7.0;32.0;0.9903;3.33;0.59;10.0;6
6.9;0.43;0.33;4.2;0.143;16.1;71.2;0.99;3.47;0.78;10.9;6
9.6;0.43;0.13;1.1;0.056;19.3;41.5;0.99;3.63;0.63;8.7;5
8.5;0.44;0.23;1.1;0.047;33.4;118.0;0.99;3.42;0.66;11.2;5
9.3;0.58;0.17;1.3;0.031;2.2;6.0;0.99;3.35;0.66;11.2;5
6.2;0.54;0.35;9.4;0.096;20.9;97.6;0.99;3.26;0.66;10.4;5
9.2;0.53;0.41;8.1;0.012;31.4;105.2;0.99;3.34;0.85;11.8;6
7.2;0.32;0.14;1.5;0.109;23.8;90.8;0.9903;3.51;0.56;10.4;6
6.6;0.41;0.39;1.4;0.082;24.6;85.7;0.99;3.3;0.58;11.0;7
7.4;0.69;0.2;1.7;0.14;22.0;69.0;0.99;3.18;0.51;11.7;6
10.6;0.51;0.22;2.8;0.055;29.5;94.0;0.99;3.07;0.76;10.4;5
7.7;0.56;0.28;3.1;0.077;4.5;31.6;0.99;3.39;0.62;11.3;6
12.0;0.56;0.46;1.6;0.14;1.4;14.5;0.99;3.35;0.71;10.9;6
4.8;0.57;0.18;4.5;0.152;15.8;74.7;0.99;3.21;0.69;11.1;6
5.7;0.5;0.36;1.9;0.055;1.0;6.0;0.99;3.46;0.61;11.1;6
10.6;0.54;0.16;7.4;0.096;28.7;103.3;0.99;3.25;0.79;10.8;6
11.0;0.55;0.16;3.7;0.101;28.6;97.4;0.99;3.29;0.69;11.6;6
6.8;0.61;0.25;2.4;0.105;11.3;36.7;0.99;3.31;0.63;10.5;5
8.4;0.51;0.22;4.9;0.075;12.0;31.6;0.99;3.26;0.62;10.6;4
9.5;0.38;0.0;5.3;0.147;15.1;53.7;0.99;3.35;0.72;10.4;5
7.9;0.46;0.34;1.9;0.012;16.4;49.5;0.99;3.48;0.5;9.4;4
8.6;0.45;0.07;2.0;0.067;17.2;64.6;0.99;3.14;0.79;12.1;6
